# {
#     "poni_version": 2.1,
#     "detector": "Dexela2923",
#     "detector_config": {
#         "pixel1": 7.5e-05,
#         "pixel2": 7.5e-05,
#         "orientation": 3
#     },
#     "dist": 0.7729163652097074,
#     "poni1": 0.15023228379054998,
#     "poni2": 0.13162955346626973,
#     "rot1": -0.03463361979894058,
#     "rot2": -0.0014763885094713292,
#     "rot3": -7.645244767931508e-10,
#     "wavelength": 1.82e-11
# }
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> integrated_CeO2.dat
#       2th_deg             I 
  5.306230e-01    2.262103e+01
  5.459080e-01    2.422448e+01
  5.611931e-01    2.476275e+01
  5.764781e-01    2.471935e+01
  5.917632e-01    2.465491e+01
  6.070482e-01    2.467436e+01
  6.223333e-01    2.462722e+01
  6.376183e-01    2.472222e+01
  6.529034e-01    2.484551e+01
  6.681884e-01    2.474236e+01
  6.834735e-01    2.469182e+01
  6.987585e-01    2.453275e+01
  7.140436e-01    2.396596e+01
  7.293286e-01    2.387651e+01
  7.446137e-01    2.383455e+01
  7.598987e-01    2.398145e+01
  7.751838e-01    2.373840e+01
  7.904688e-01    2.334950e+01
  8.057539e-01    2.310518e+01
  8.210389e-01    2.320780e+01
  8.363240e-01    2.309122e+01
  8.516090e-01    2.283215e+01
  8.668941e-01    2.262652e+01
  8.821791e-01    2.258643e+01
  8.974642e-01    2.237153e+01
  9.127492e-01    2.217930e+01
  9.280343e-01    2.206470e+01
  9.433193e-01    2.195310e+01
  9.586044e-01    2.179246e+01
  9.738894e-01    2.171101e+01
  9.891745e-01    2.158806e+01
  1.004460e+00    2.138095e+01
  1.019745e+00    2.131556e+01
  1.035030e+00    2.127811e+01
  1.050315e+00    2.116053e+01
  1.065600e+00    2.063960e+01
  1.080885e+00    2.075973e+01
  1.096170e+00    2.068183e+01
  1.111455e+00    2.065345e+01
  1.126740e+00    2.055409e+01
  1.142025e+00    2.049121e+01
  1.157310e+00    2.056730e+01
  1.172595e+00    2.046397e+01
  1.187880e+00    2.044984e+01
  1.203165e+00    2.037279e+01
  1.218450e+00    2.045092e+01
  1.233735e+00    2.037157e+01
  1.249020e+00    2.058051e+01
  1.264305e+00    2.050853e+01
  1.279590e+00    2.049298e+01
  1.294875e+00    2.052799e+01
  1.310161e+00    2.052118e+01
  1.325446e+00    2.057751e+01
  1.340731e+00    2.052335e+01
  1.356016e+00    2.055068e+01
  1.371301e+00    2.057624e+01
  1.386586e+00    2.050665e+01
  1.401871e+00    2.048213e+01
  1.417156e+00    2.047033e+01
  1.432441e+00    2.036183e+01
  1.447726e+00    2.037965e+01
  1.463011e+00    2.038083e+01
  1.478296e+00    2.030117e+01
  1.493581e+00    2.029378e+01
  1.508866e+00    2.022472e+01
  1.524151e+00    2.023845e+01
  1.539436e+00    2.015815e+01
  1.554721e+00    2.012655e+01
  1.570006e+00    2.020092e+01
  1.585291e+00    2.011942e+01
  1.600577e+00    2.009238e+01
  1.615862e+00    2.008950e+01
  1.631147e+00    2.004912e+01
  1.646432e+00    2.002867e+01
  1.661717e+00    1.999851e+01
  1.677002e+00    1.996201e+01
  1.692287e+00    1.997219e+01
  1.707572e+00    1.995418e+01
  1.722857e+00    1.998958e+01
  1.738142e+00    1.999975e+01
  1.753427e+00    2.003387e+01
  1.768712e+00    1.999141e+01
  1.783997e+00    2.004687e+01
  1.799282e+00    2.001716e+01
  1.814567e+00    1.996661e+01
  1.829852e+00    1.997183e+01
  1.845137e+00    2.000485e+01
  1.860422e+00    2.000441e+01
  1.875707e+00    1.998039e+01
  1.890992e+00    1.996787e+01
  1.906278e+00    1.999838e+01
  1.921563e+00    1.999730e+01
  1.936848e+00    2.003155e+01
  1.952133e+00    2.002876e+01
  1.967418e+00    1.998027e+01
  1.982703e+00    1.994057e+01
  1.997988e+00    1.995278e+01
  2.013273e+00    1.989297e+01
  2.028558e+00    1.988675e+01
  2.043843e+00    1.991379e+01
  2.059128e+00    1.991130e+01
  2.074413e+00    1.987202e+01
  2.089698e+00    1.983046e+01
  2.104983e+00    1.982472e+01
  2.120268e+00    1.976751e+01
  2.135553e+00    1.977556e+01
  2.150838e+00    1.977473e+01
  2.166123e+00    1.968127e+01
  2.181408e+00    1.960185e+01
  2.196693e+00    1.954275e+01
  2.211979e+00    1.953032e+01
  2.227264e+00    1.951644e+01
  2.242549e+00    1.944998e+01
  2.257834e+00    1.945737e+01
  2.273119e+00    1.937423e+01
  2.288404e+00    1.932977e+01
  2.303689e+00    1.930778e+01
  2.318974e+00    1.918867e+01
  2.334259e+00    1.912650e+01
  2.349544e+00    1.908693e+01
  2.364829e+00    1.900955e+01
  2.380114e+00    1.897797e+01
  2.395399e+00    1.895132e+01
  2.410684e+00    1.889734e+01
  2.425969e+00    1.884185e+01
  2.441254e+00    1.878190e+01
  2.456539e+00    1.873981e+01
  2.471824e+00    1.874070e+01
  2.487109e+00    1.847025e+01
  2.502395e+00    1.854873e+01
  2.517680e+00    1.850028e+01
  2.532965e+00    1.847591e+01
  2.548250e+00    1.844042e+01
  2.563535e+00    1.845339e+01
  2.578820e+00    1.839115e+01
  2.594105e+00    1.835495e+01
