# {
#     "poni_version": 2.1,
#     "detector": "Dexela2923",
#     "detector_config": {
#         "pixel1": 7.5e-05,
#         "pixel2": 7.5e-05,
#         "orientation": 3
#     },
#     "dist": 0.7729163652097074,
#     "poni1": 0.15023228379054998,
#     "poni2": 0.13162955346626973,
#     "rot1": -0.03463361979894058,
#     "rot2": -0.0014763885094713292,
#     "rot3": -7.645244767931508e-10,
#     "wavelength": 1.82e-11
# }
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> integrated_LaB6.dat
#       2th_deg             I 
  4.073751e-01    1.190995e+01
  4.227835e-01    1.224191e+01
  4.381919e-01    1.270290e+01
  4.536002e-01    1.365280e+01
  4.690086e-01    1.506707e+01
  4.844169e-01    1.715012e+01
  4.998253e-01    1.931064e+01
  5.152337e-01    2.115750e+01
  5.306420e-01    2.205563e+01
  5.460504e-01    2.243183e+01
  5.614587e-01    2.263716e+01
  5.768671e-01    2.279960e+01
  5.922755e-01    2.293294e+01
  6.076838e-01    2.301282e+01
  6.230922e-01    2.298501e+01
  6.385005e-01    2.299609e+01
  6.539089e-01    2.309922e+01
  6.693173e-01    2.311800e+01
  6.847256e-01    2.293176e+01
  7.001340e-01    2.234253e+01
  7.155423e-01    2.189064e+01
  7.309507e-01    2.148310e+01
  7.463591e-01    2.110526e+01
  7.617674e-01    2.070202e+01
  7.771758e-01    2.027020e+01
  7.925841e-01    1.988919e+01
  8.079925e-01    1.947787e+01
  8.234009e-01    1.916893e+01
  8.388092e-01    1.888795e+01
  8.542176e-01    1.861037e+01
  8.696259e-01    1.838754e+01
  8.850343e-01    1.816617e+01
  9.004427e-01    1.797827e+01
  9.158510e-01    1.784340e+01
  9.312594e-01    1.765661e+01
  9.466677e-01    1.747063e+01
  9.620761e-01    1.734470e+01
  9.774845e-01    1.721313e+01
  9.928928e-01    1.704113e+01
  1.008301e+00    1.691695e+01
  1.023710e+00    1.676977e+01
  1.039118e+00    1.665015e+01
  1.054526e+00    1.648007e+01
  1.069935e+00    1.616455e+01
  1.085343e+00    1.620194e+01
  1.100751e+00    1.615962e+01
  1.116160e+00    1.607708e+01
  1.131568e+00    1.599868e+01
  1.146976e+00    1.595483e+01
  1.162385e+00    1.593945e+01
  1.177793e+00    1.594776e+01
  1.193202e+00    1.595959e+01
  1.208610e+00    1.594904e+01
  1.224018e+00    1.596115e+01
  1.239427e+00    1.600515e+01
  1.254835e+00    1.602208e+01
  1.270243e+00    1.605676e+01
  1.285652e+00    1.610240e+01
  1.301060e+00    1.616997e+01
  1.316468e+00    1.620815e+01
  1.331877e+00    1.624364e+01
  1.347285e+00    1.625542e+01
  1.362693e+00    1.624776e+01
  1.378102e+00    1.625433e+01
  1.393510e+00    1.628110e+01
  1.408919e+00    1.631934e+01
  1.424327e+00    1.630592e+01
  1.439735e+00    1.632678e+01
  1.455144e+00    1.636688e+01
  1.470552e+00    1.638733e+01
  1.485960e+00    1.639416e+01
  1.501369e+00    1.643750e+01
  1.516777e+00    1.649039e+01
  1.532185e+00    1.651940e+01
  1.547594e+00    1.654676e+01
  1.563002e+00    1.661629e+01
  1.578411e+00    1.670887e+01
  1.593819e+00    1.677629e+01
  1.609227e+00    1.686222e+01
  1.624636e+00    1.696078e+01
  1.640044e+00    1.705276e+01
  1.655452e+00    1.713746e+01
  1.670861e+00    1.721692e+01
  1.686269e+00    1.734573e+01
  1.701677e+00    1.747315e+01
  1.717086e+00    1.760463e+01
  1.732494e+00    1.773073e+01
  1.747902e+00    1.786371e+01
  1.763311e+00    1.802706e+01
  1.778719e+00    1.815504e+01
  1.794128e+00    1.829357e+01
  1.809536e+00    1.839265e+01
  1.824944e+00    1.853119e+01
  1.840353e+00    1.871852e+01
  1.855761e+00    1.886135e+01
  1.871169e+00    1.899443e+01
  1.886578e+00    1.912983e+01
  1.901986e+00    1.927894e+01
  1.917394e+00    1.942548e+01
  1.932803e+00    1.950220e+01
  1.948211e+00    1.962511e+01
  1.963620e+00    1.974885e+01
  1.979028e+00    1.982902e+01
  1.994436e+00    1.989613e+01
  2.009845e+00    1.997082e+01
  2.025253e+00    2.002019e+01
  2.040661e+00    2.006406e+01
  2.056070e+00    2.009850e+01
  2.071478e+00    2.012174e+01
  2.086886e+00    2.010935e+01
  2.102295e+00    2.010572e+01
  2.117703e+00    2.009939e+01
  2.133111e+00    2.007245e+01
  2.148520e+00    2.003050e+01
  2.163928e+00    1.997620e+01
  2.179337e+00    1.992176e+01
  2.194745e+00    1.983532e+01
  2.210153e+00    1.977020e+01
  2.225562e+00    1.967148e+01
  2.240970e+00    1.957693e+01
  2.256378e+00    1.947767e+01
  2.271787e+00    1.936032e+01
  2.287195e+00    1.923064e+01
  2.302603e+00    1.911137e+01
  2.318012e+00    1.901105e+01
  2.333420e+00    1.888225e+01
  2.348829e+00    1.875812e+01
  2.364237e+00    1.865474e+01
  2.379645e+00    1.856329e+01
  2.395054e+00    1.848422e+01
  2.410462e+00    1.844814e+01
  2.425870e+00    1.850313e+01
  2.441279e+00    1.885093e+01
  2.456687e+00    2.020015e+01
  2.472095e+00    2.696291e+01
  2.487504e+00    7.863509e+01
  2.502912e+00    1.708002e+02
  2.518320e+00    1.549819e+02
  2.533729e+00    5.789029e+01
  2.549137e+00    2.321665e+01
  2.564546e+00    1.857394e+01
  2.579954e+00    1.729059e+01
  2.595362e+00    1.678444e+01
  2.610771e+00    1.650887e+01
  2.626179e+00    1.628793e+01
  2.641587e+00    1.609355e+01
  2.656996e+00    1.591014e+01
  2.672404e+00    1.575822e+01
  2.687812e+00    1.562677e+01
  2.703221e+00    1.549221e+01
  2.718629e+00    1.535037e+01
  2.734038e+00    1.521288e+01
  2.749446e+00    1.508614e+01
  2.764854e+00    1.497703e+01
  2.780263e+00    1.486141e+01
  2.795671e+00    1.473466e+01
  2.811079e+00    1.463810e+01
  2.826488e+00    1.453381e+01
  2.841896e+00    1.443437e+01
  2.857304e+00    1.433161e+01
  2.872713e+00    1.424077e+01
  2.888121e+00    1.415034e+01
  2.903529e+00    1.406837e+01
  2.918938e+00    1.397272e+01
  2.934346e+00    1.389468e+01
  2.949755e+00    1.382609e+01
  2.965163e+00    1.373933e+01
  2.980571e+00    1.366772e+01
